"","mes_ano","ano","total","tipo","regiao","mes_ano_data"
"1","2021-10",2021,1209.59943275789,"previsto","Centro Norte",2021-10-01
"2","2021-11",2021,1139.71672145616,"previsto","Centro Norte",2021-11-01
"3","2021-12",2021,1175.08079633734,"previsto","Centro Norte",2021-12-01
"4","2022-01",2022,1192.04618858339,"previsto","Centro Norte",2022-01-01
"5","2022-02",2022,1155.15519837297,"previsto","Centro Norte",2022-02-01
"6","2022-03",2022,1336.64718468497,"previsto","Centro Norte",2022-03-01
"7","2022-04",2022,1274.1386815298,"previsto","Centro Norte",2022-04-01
"8","2022-05",2022,1303.20567859573,"previsto","Centro Norte",2022-05-01
"9","2022-06",2022,1205.9414189273,"previsto","Centro Norte",2022-06-01
"10","2022-07",2022,1216.570179839,"previsto","Centro Norte",2022-07-01
"11","2022-08",2022,1211.85172073371,"previsto","Centro Norte",2022-08-01
"12","2022-09",2022,1208.21557893134,"previsto","Centro Norte",2022-09-01
"13","2022-10",2022,1176.37024977783,"previsto","Centro Norte",2022-10-01
"14","2022-11",2022,1120.33588170178,"previsto","Centro Norte",2022-11-01
"15","2022-12",2022,1157.66848306679,"previsto","Centro Norte",2022-12-01
"16","2023-01",2023,1183.10408131445,"previsto","Centro Norte",2023-01-01
"17","2023-02",2023,1139.87379929983,"previsto","Centro Norte",2023-02-01
"18","2023-03",2023,1321.16893915686,"previsto","Centro Norte",2023-03-01
"19","2023-04",2023,1245.5614144715,"previsto","Centro Norte",2023-04-01
"20","2023-05",2023,1276.56631392804,"previsto","Centro Norte",2023-05-01
"21","2023-06",2023,1193.78650432209,"previsto","Centro Norte",2023-06-01
"22","2023-07",2023,1206.23179383077,"previsto","Centro Norte",2023-07-01
"23","2023-08",2023,1203.07488405163,"previsto","Centro Norte",2023-08-01
"24","2023-09",2023,1190.33377681945,"previsto","Centro Norte",2023-09-01
"25","2023-10",2023,1143.09180681956,"previsto","Centro Norte",2023-10-01
"26","2023-11",2023,1101.24356344749,"previsto","Centro Norte",2023-11-01
"27","2023-12",2023,1140.50555047278,"previsto","Centro Norte",2023-12-01
"28","2024-01",2024,1174.2328821778,"previsto","Centro Norte",2024-01-01
"29","2024-02",2024,1124.5228628666,"previsto","Centro Norte",2024-02-01
"30","2024-03",2024,1295.34932353325,"previsto","Centro Norte",2024-03-01
"31","2024-04",2024,1259.49881310018,"previsto","Centro Norte",2024-04-01
"32","2024-05",2024,1285.97338785994,"previsto","Centro Norte",2024-05-01
"33","2024-06",2024,1160.05151977895,"previsto","Centro Norte",2024-06-01
"34","2024-07",2024,1166.18452688802,"previsto","Centro Norte",2024-07-01
"35","2024-08",2024,1157.48664539767,"previsto","Centro Norte",2024-08-01
"36","2024-09",2024,1171.41488310914,"previsto","Centro Norte",2024-09-01
"37","2024-10",2024,1171.46722291634,"previsto","Centro Norte",2024-10-01
"38","2024-11",2024,1088.08683949577,"previsto","Centro Norte",2024-11-01
"39","2024-12",2024,1121.45353520395,"previsto","Centro Norte",2024-12-01
"40","2025-01",2025,1129.77920236652,"previsto","Centro Norte",2025-01-01
"41","2025-02",2025,1099.08344949099,"previsto","Centro Norte",2025-02-01
"42","2025-03",2025,1280.51231236708,"previsto","Centro Norte",2025-03-01
"43","2021-10",2021,2404.3088982979,"previsto","centro_oeste",2021-10-01
"44","2021-11",2021,2257.33553024402,"previsto","centro_oeste",2021-11-01
"45","2021-12",2021,2360.93615564067,"previsto","centro_oeste",2021-12-01
"46","2022-01",2022,2422.93977844665,"previsto","centro_oeste",2022-01-01
"47","2022-02",2022,2328.39975051363,"previsto","centro_oeste",2022-02-01
"48","2022-03",2022,2677.88899941448,"previsto","centro_oeste",2022-03-01
"49","2022-04",2022,2596.64169352511,"previsto","centro_oeste",2022-04-01
"50","2022-05",2022,2570.78301791487,"previsto","centro_oeste",2022-05-01
"51","2022-06",2022,2357.5230998285,"previsto","centro_oeste",2022-06-01
"52","2022-07",2022,2392.87434467693,"previsto","centro_oeste",2022-07-01
"53","2022-08",2022,2328.3098463795,"previsto","centro_oeste",2022-08-01
"54","2022-09",2022,2378.84792676239,"previsto","centro_oeste",2022-09-01
"55","2022-10",2022,2335.14745160318,"previsto","centro_oeste",2022-10-01
"56","2022-11",2022,2200.2696975022,"previsto","centro_oeste",2022-11-01
"57","2022-12",2022,2280.82449248666,"previsto","centro_oeste",2022-12-01
"58","2023-01",2023,2353.66088696425,"previsto","centro_oeste",2023-01-01
"59","2023-02",2023,2291.99550561426,"previsto","centro_oeste",2023-02-01
"60","2023-03",2023,2592.20007312677,"previsto","centro_oeste",2023-03-01
"61","2023-04",2023,2535.73050384014,"previsto","centro_oeste",2023-04-01
"62","2023-05",2023,2503.66196486457,"previsto","centro_oeste",2023-05-01
"63","2023-06",2023,2288.72398385635,"previsto","centro_oeste",2023-06-01
"64","2023-07",2023,2334.72202647521,"previsto","centro_oeste",2023-07-01
"65","2023-08",2023,2269.78581068599,"previsto","centro_oeste",2023-08-01
"66","2023-09",2023,2313.33162744958,"previsto","centro_oeste",2023-09-01
"67","2023-10",2023,2265.9800160174,"previsto","centro_oeste",2023-10-01
"68","2023-11",2023,2143.11556071934,"previsto","centro_oeste",2023-11-01
"69","2023-12",2023,2200.71528145237,"previsto","centro_oeste",2023-12-01
"70","2024-01",2024,2284.91549314204,"previsto","centro_oeste",2024-01-01
"71","2024-02",2024,2255.59936384462,"previsto","centro_oeste",2024-02-01
"72","2024-03",2024,2589.63666845114,"previsto","centro_oeste",2024-03-01
"73","2024-04",2024,2460.33179419589,"previsto","centro_oeste",2024-04-01
"74","2024-05",2024,2446.43312944651,"previsto","centro_oeste",2024-05-01
"75","2024-06",2024,2237.30928976397,"previsto","centro_oeste",2024-06-01
"76","2024-07",2024,2251.17183889933,"previsto","centro_oeste",2024-07-01
"77","2024-08",2024,2186.68172755875,"previsto","centro_oeste",2024-08-01
"78","2024-09",2024,2250.84389250043,"previsto","centro_oeste",2024-09-01
"79","2024-10",2024,2215.01096797573,"previsto","centro_oeste",2024-10-01
"80","2024-11",2024,2055.86728960816,"previsto","centro_oeste",2024-11-01
"81","2024-12",2024,2182.58580746546,"previsto","centro_oeste",2024-12-01
"82","2025-01",2025,2234.30248866235,"previsto","centro_oeste",2025-01-01
"83","2025-02",2025,2106.39427364909,"previsto","centro_oeste",2025-02-01
"84","2025-03",2025,2504.74093160633,"previsto","centro_oeste",2025-03-01
"85","2021-10",2021,1563.42437649048,"previs?o","Centro Sudeste",2021-10-01
"86","2021-11",2021,1499.5615756441,"previs?o","Centro Sudeste",2021-11-01
"87","2021-12",2021,1526.84051139918,"previs?o","Centro Sudeste",2021-12-01
"88","2022-01",2022,1605.04520819004,"previs?o","Centro Sudeste",2022-01-01
"89","2022-02",2022,1556.80105577362,"previs?o","Centro Sudeste",2022-02-01
"90","2022-03",2022,1769.96481192982,"previs?o","Centro Sudeste",2022-03-01
"91","2022-04",2022,1691.6536042176,"previs?o","Centro Sudeste",2022-04-01
"92","2022-05",2022,1685.6525285143,"previs?o","Centro Sudeste",2022-05-01
"93","2022-06",2022,1565.32758845603,"previs?o","Centro Sudeste",2022-06-01
"94","2022-07",2022,1579.04152180924,"previs?o","Centro Sudeste",2022-07-01
"95","2022-08",2022,1531.24072699177,"previs?o","Centro Sudeste",2022-08-01
"96","2022-09",2022,1564.56341698112,"previs?o","Centro Sudeste",2022-09-01
"97","2022-10",2022,1531.54384761062,"previs?o","Centro Sudeste",2022-10-01
"98","2022-11",2022,1470.41126069808,"previs?o","Centro Sudeste",2022-11-01
"99","2022-12",2022,1496.991926965,"previs?o","Centro Sudeste",2022-12-01
"100","2023-01",2023,1572.00029050709,"previs?o","Centro Sudeste",2023-01-01
"101","2023-02",2023,1532.53561954038,"previs?o","Centro Sudeste",2023-02-01
"102","2023-03",2023,1747.44664146571,"previs?o","Centro Sudeste",2023-03-01
"103","2023-04",2023,1660.80135861713,"previs?o","Centro Sudeste",2023-04-01
"104","2023-05",2023,1648.03023488178,"previs?o","Centro Sudeste",2023-05-01
"105","2023-06",2023,1538.76309305313,"previs?o","Centro Sudeste",2023-06-01
"106","2023-07",2023,1554.9028549468,"previs?o","Centro Sudeste",2023-07-01
"107","2023-08",2023,1505.03353055276,"previs?o","Centro Sudeste",2023-08-01
"108","2023-09",2023,1539.87471657137,"previs?o","Centro Sudeste",2023-09-01
"109","2023-10",2023,1499.56247016988,"previs?o","Centro Sudeste",2023-10-01
"110","2023-11",2023,1441.27689461872,"previs?o","Centro Sudeste",2023-11-01
"111","2023-12",2023,1467.15748086273,"previs?o","Centro Sudeste",2023-12-01
"112","2024-01",2024,1539.07624888243,"previs?o","Centro Sudeste",2024-01-01
"113","2024-02",2024,1508.47996926583,"previs?o","Centro Sudeste",2024-02-01
"114","2024-03",2024,1701.37281761422,"previs?o","Centro Sudeste",2024-03-01
"115","2024-04",2024,1639.6235902976,"previs?o","Centro Sudeste",2024-04-01
"116","2024-05",2024,1647.98850361845,"previs?o","Centro Sudeste",2024-05-01
"117","2024-06",2024,1506.17580561673,"previs?o","Centro Sudeste",2024-06-01
"118","2024-07",2024,1514.50074729038,"previs?o","Centro Sudeste",2024-07-01
"119","2024-08",2024,1470.64401459461,"previs?o","Centro Sudeste",2024-08-01
"120","2024-09",2024,1500.56665566256,"previs?o","Centro Sudeste",2024-09-01
"121","2024-10",2024,1482.19304977185,"previs?o","Centro Sudeste",2024-10-01
"122","2024-11",2024,1415.71805633071,"previs?o","Centro Sudeste",2024-11-01
"123","2024-12",2024,1443.69350501605,"previs?o","Centro Sudeste",2024-12-01
"124","2025-01",2025,1525.20000146972,"previs?o","Centro Sudeste",2025-01-01
"125","2025-02",2025,1468.27612530088,"previs?o","Centro Sudeste",2025-02-01
"126","2025-03",2025,1679.26630021066,"previs?o","Centro Sudeste",2025-03-01
"127","2021-10",2021,1512.03182897938,"previsto","nordeste",2021-10-01
"128","2021-11",2021,1423.90941548335,"previsto","nordeste",2021-11-01
"129","2021-12",2021,1446.61612643758,"previsto","nordeste",2021-12-01
"130","2022-01",2022,1532.81874502367,"previsto","nordeste",2022-01-01
"131","2022-02",2022,1454.66617014564,"previsto","nordeste",2022-02-01
"132","2022-03",2022,1660.75338529493,"previsto","nordeste",2022-03-01
"133","2022-04",2022,1588.99496999256,"previsto","nordeste",2022-04-01
"134","2022-05",2022,1601.89994101503,"previsto","nordeste",2022-05-01
"135","2022-06",2022,1509.85107187367,"previsto","nordeste",2022-06-01
"136","2022-07",2022,1534.20818914587,"previsto","nordeste",2022-07-01
"137","2022-08",2022,1494.9408985583,"previsto","nordeste",2022-08-01
"138","2022-09",2022,1494.33654830676,"previsto","nordeste",2022-09-01
"139","2022-10",2022,1482.88897148014,"previsto","nordeste",2022-10-01
"140","2022-11",2022,1422.88766029399,"previsto","nordeste",2022-11-01
"141","2022-12",2022,1433.28147851326,"previsto","nordeste",2022-12-01
"142","2023-01",2023,1521.3632824741,"previsto","nordeste",2023-01-01
"143","2023-02",2023,1440.58429455923,"previsto","nordeste",2023-02-01
"144","2023-03",2023,1654.51195357158,"previsto","nordeste",2023-03-01
"145","2023-04",2023,1579.91886290314,"previsto","nordeste",2023-04-01
"146","2023-05",2023,1582.9215122807,"previsto","nordeste",2023-05-01
"147","2023-06",2023,1499.55115412282,"previsto","nordeste",2023-06-01
"148","2023-07",2023,1516.65922340319,"previsto","nordeste",2023-07-01
"149","2023-08",2023,1501.00880123518,"previsto","nordeste",2023-08-01
"150","2023-09",2023,1485.37135149499,"previsto","nordeste",2023-09-01
"151","2023-10",2023,1453.78454521542,"previsto","nordeste",2023-10-01
"152","2023-11",2023,1422.0814626486,"previsto","nordeste",2023-11-01
"153","2023-12",2023,1419.89125927472,"previsto","nordeste",2023-12-01
"154","2024-01",2024,1509.88634086655,"previsto","nordeste",2024-01-01
"155","2024-02",2024,1426.63266425899,"previsto","nordeste",2024-02-01
"156","2024-03",2024,1628.50833503857,"previsto","nordeste",2024-03-01
"157","2024-04",2024,1562.03400174006,"previsto","nordeste",2024-04-01
"158","2024-05",2024,1595.09635761464,"previsto","nordeste",2024-05-01
"159","2024-06",2024,1486.17357795424,"previsto","nordeste",2024-06-01
"160","2024-07",2024,1525.46983938714,"previsto","nordeste",2024-07-01
"161","2024-08",2024,1438.45159611542,"previsto","nordeste",2024-08-01
"162","2024-09",2024,1466.4075797342,"previsto","nordeste",2024-09-01
"163","2024-10",2024,1496.61400131255,"previsto","nordeste",2024-10-01
"164","2024-11",2024,1380.57135922886,"previsto","nordeste",2024-11-01
"165","2024-12",2024,1415.314571501,"previsto","nordeste",2024-12-01
"166","2025-01",2025,1499.67062567009,"previsto","nordeste",2025-01-01
"167","2025-02",2025,1424.29613076414,"previsto","nordeste",2025-02-01
"168","2025-03",2025,1622.36259206364,"previsto","nordeste",2025-03-01
"169","2021-10",2021,752.103556482187,"previs?o","sudoeste",2021-10-01
"170","2021-11",2021,711.239453308232,"previs?o","sudoeste",2021-11-01
"171","2021-12",2021,723.645567771048,"previs?o","sudoeste",2021-12-01
"172","2022-01",2022,765.224998607698,"previs?o","sudoeste",2022-01-01
"173","2022-02",2022,755.227754149547,"previs?o","sudoeste",2022-02-01
"174","2022-03",2022,842.3129935843,"previs?o","sudoeste",2022-03-01
"175","2022-04",2022,825.822686380896,"previs?o","sudoeste",2022-04-01
"176","2022-05",2022,822.140575753963,"previs?o","sudoeste",2022-05-01
"177","2022-06",2022,749.070051824176,"previs?o","sudoeste",2022-06-01
"178","2022-07",2022,765.269013081076,"previs?o","sudoeste",2022-07-01
"179","2022-08",2022,736.01788933651,"previs?o","sudoeste",2022-08-01
"180","2022-09",2022,745.727172938517,"previs?o","sudoeste",2022-09-01
"181","2022-10",2022,737.125217652562,"previs?o","sudoeste",2022-10-01
"182","2022-11",2022,695.088542391516,"previs?o","sudoeste",2022-11-01
"183","2022-12",2022,724.06787210199,"previs?o","sudoeste",2022-12-01
"184","2023-01",2023,752.279901786484,"previs?o","sudoeste",2023-01-01
"185","2023-02",2023,739.509777539729,"previs?o","sudoeste",2023-02-01
"186","2023-03",2023,829.475462102062,"previs?o","sudoeste",2023-03-01
"187","2023-04",2023,827.530080918,"previs?o","sudoeste",2023-04-01
"188","2023-05",2023,808.774979682957,"previs?o","sudoeste",2023-05-01
"189","2023-06",2023,732.080427563708,"previs?o","sudoeste",2023-06-01
"190","2023-07",2023,756.043170304254,"previs?o","sudoeste",2023-07-01
"191","2023-08",2023,727.974103620834,"previs?o","sudoeste",2023-08-01
"192","2023-09",2023,740.699663988481,"previs?o","sudoeste",2023-09-01
"193","2023-10",2023,722.025230253616,"previs?o","sudoeste",2023-10-01
"194","2023-11",2023,679.118018512688,"previs?o","sudoeste",2023-11-01
"195","2023-12",2023,724.508578098914,"previs?o","sudoeste",2023-12-01
"196","2024-01",2024,739.126729954352,"previs?o","sudoeste",2024-01-01
"197","2024-02",2024,723.796977207371,"previs?o","sudoeste",2024-02-01
"198","2024-03",2024,827.282566167403,"previs?o","sudoeste",2024-03-01
"199","2024-04",2024,781.110896882805,"previs?o","sudoeste",2024-04-01
"200","2024-05",2024,806.810677558495,"previs?o","sudoeste",2024-05-01
"201","2024-06",2024,741.823111709529,"previs?o","sudoeste",2024-06-01
"202","2024-07",2024,742.828995698908,"previs?o","sudoeste",2024-07-01
"203","2024-08",2024,711.043564841612,"previs?o","sudoeste",2024-08-01
"204","2024-09",2024,714.187435350729,"previs?o","sudoeste",2024-09-01
"205","2024-10",2024,725.653420412342,"previs?o","sudoeste",2024-10-01
"206","2024-11",2024,686.264282484237,"previs?o","sudoeste",2024-11-01
"207","2024-12",2024,681.951149919939,"previs?o","sudoeste",2024-12-01
"208","2025-01",2025,736.659356795658,"previs?o","sudoeste",2025-01-01
"209","2025-02",2025,729.642593620363,"previs?o","sudoeste",2025-02-01
"210","2025-03",2025,814.04811441559,"previs?o","sudoeste",2025-03-01
